Function Name,All,Sigmoid,Ogee,EaseIn,EaseOut,Penner's,Staircase,Window,General,Linear,Other,Helpers
function_AdjustableCenterCosineWindow,1,,,,,,,1,,,,
function_AdjustableCenterDoubleExponentialSigmoid,1,1,,,,,,,,,,
function_AdjustableCenterEllipticWindow,1,,,,,,,1,,,,
function_AdjustableCenterHyperellipticWindow,1,,,,,,,1,,,,
function_AdjustableCenterSquircularWindow,1,,,,,,,1,,,,
function_AdjustableFwhmHalfGaussian,1,,,,,,,1,,,,
function_AdjustableSigmaGaussian,1,,,,,,,1,,,,
function_AdjustableSigmaHalfGaussian,1,,,,,,,1,,,,
function_BartlettHannWindow,1,,,,,,,1,,,,
function_BartlettWindow,1,,,,,,,1,,1,,
function_BlackmanHarrisWindow,1,,,,,,,1,,,,
function_BlackmanNuttallWindow,1,,,,,,,1,,,,
function_BlinnWyvillCosineApproximation,1,1,,,,,,,,,,
function_BoxcarFunction,1,,,,,,1,,,,1,
function_CatmullRomInterpolate,1,1,,,,,,,,,,
function_CircularArcThroughAPoint,1,,,1,1,,,,,,,
function_CircularEaseIn,1,,,1,,,,,,,,
function_CircularEaseInOut,1,1,,,,1,,,,,,
function_CircularEaseOut,1,,,,1,,,,,,,
function_CircularFillet,1,,,1,1,,,,,1,1,
function_CosineWindow,1,,,,,,,1,,,,
function_CubicBezier,1,1,1,1,1,,,,1,,,
function_CubicBezierThrough2Points,1,1,1,1,1,,,,1,,,
function_DampedSinusoid,1,,,,,,,,,,1,
function_DampedSinusoidReverse,1,,,,,,,,,,1,
function_DoubleCircularOgee,1,,1,,,,,,,,,
function_DoubleCircularSigmoid,1,1,,,,,,,,,,
function_DoubleCubicOgee,1,,1,,,,,,,,,
function_DoubleCubicOgeeSimplified,1,,1,,,,,,1,,,
function_DoubleEllipticOgee,1,,1,,,,,,,,,
function_DoubleEllipticSigmoid,1,1,,,,,,,,,,
function_DoubleExponentialOgee,1,,1,,,,,,,,,
function_DoubleExponentialSigmoid,1,1,,,,,,,,,,
function_DoubleLinear,1,,,,,,,,,1,,
function_DoubleOddPolynomialOgee,1,,1,,,,,,,,,
function_DoublePolynomialSigmoid,1,1,,,,,,,,,,
function_DoubleQuadraticBezier,1,,,,,,,,1,,,
function_DoubleQuadraticSigmoid,1,1,,,,,,,,,,
function_DoubleSquircularOgee,1,,1,,,,,,,,,
function_DoubleSquircularSigmoid,1,1,,,,,,,,,,
function_ExactBlackmanWindow,1,,,,,,,1,,,,
function_ExponentialEmphasis,1,,,1,1,,,,1,,,
function_ExponentialSmoothedStaircase,1,,,,,,1,,,,,
function_FastSquareRoot,1,,,,1,,,,,,1,
function_FlatTopWindow,1,,,,,,,1,,,,
function_GeneralizedBlackmanWindow,1,,,,,,,1,,,,
function_GeneralizedLinearMap,1,,,,,,,,,1,,
function_GeneralizedTriangleWindow,1,,,,,,,1,,1,,
function_GeneralSigmoidLogitCombo,1,1,1,,,,,,1,,,
function_Gompertz,1,1,,1,,,,,,,,
function_HalfBartlettHannWindow,1,,,,,,,1,,,,
function_HalfBlackmanHarrisWindow,1,,,,,,,1,,,,
function_HalfBlackmanNuttallWindow,1,,,,,,,1,,,,
function_HalfExactBlackmanWindow,1,,,,,,,1,,,,
function_HalfFlatTopWindow,1,,,,,,,1,,,,
function_HalfGaussianThroughAPoint,1,,,,,,,1,,,,
function_HalfGeneralizedBlackmanWindow,1,,,,,,,1,,,,
function_HalfLanczosSincWindow,1,,,,1,,,1,,,,
function_HalfNuttallWindow,1,,,,,,,1,,,,
function_HammingWindow,1,,,,,,,1,,,,
function_HannPoissonWindow,1,,,,,,,1,,,,
function_HannPoissonWindowSliding,1,,,,,,,1,,,,
function_HannWindow,1,,,,,,,1,,,,
function_Hermite,1,1,,,,,,,,,,
function_Hermite2,1,,,,,,,,1,,,
function_Identity,1,,,,,,,,,1,1,
function_Inverse,1,,,,,,,,,1,1,
function_IterativeSquareRoot,1,,,,1,,,,,,1,
function_LanczosSincWindow,1,,,,,,,1,,,,
function_MaclaurinCos,1,1,,,,,,,,,,
function_NiftyQuartic,1,1,,1,1,,,,1,,,
function_NormalizedErf,1,1,,,,,,,,,,
function_NormalizedInverseErf,1,,1,,,,,,,,,
function_NormalizedLogisticSigmoid,1,1,,,,,,,,,,
function_NormalizedLogit,1,,1,,,,,,,,,
function_NuttallWindow,1,,,,,,,1,,,,
function_ParabolaThroughAPoint,1,,,1,1,,,,,,,
function_PennerEaseInBack,1,,,1,,1,,,,,,
function_PennerEaseInBounce,1,,,1,,1,,,,,,
function_PennerEaseInCubic,1,,,1,,1,,,,,,
function_PennerEaseInElastic,1,,,1,,1,,,,,,
function_PennerEaseInExpo,1,,,1,,1,,,,,,
function_PennerEaseInOutBack ,1,1,,,,1,,,,,,
function_PennerEaseInOutBounce,1,,,,,1,,,,,,
function_PennerEaseInOutCubic,1,1,,,,1,,,,,,
function_PennerEaseInOutElastic,1,1,,,,1,,,,,,
function_PennerEaseInOutExpo,1,1,,,,1,,,,,,
function_PennerEaseInOutQuadratic,1,1,,,,1,,,,,,
function_PennerEaseInOutQuartic,1,1,,,,1,,,,,,
function_PennerEaseInOutQuintic,1,1,,,,1,,,,,,
function_PennerEaseInOutSine,1,1,,,,1,,,,,,
function_PennerEaseInQuadratic,1,,,1,,1,,,,,,
function_PennerEaseInQuartic,1,,,1,,1,,,,,,
function_PennerEaseInQuintic,1,,,1,,1,,,,,,
function_PennerEaseInSine,1,,,1,,1,,,,,,
function_PennerEaseOutBack,1,,,,1,1,,,,,,
function_PennerEaseOutBounce,1,,,,1,1,,,,,,
function_PennerEaseOutCubic,1,,,,1,1,,,,,,
function_PennerEaseOutElastic,1,,,,1,1,,,,,,
function_PennerEaseOutExpo,1,,,,1,1,,,,,,
function_PennerEaseOutQuadratic,1,,,,1,1,,,,,,
function_PennerEaseOutQuartic,1,,,,1,1,,,,,,
function_PennerEaseOutQuintic,1,,,,1,1,,,,,,
function_PennerEaseOutSine,1,,,,1,1,,,,,,
function_PoissonWindow,1,,,,,,,1,,,,
function_QuadraticBezier,1,,,1,1,,,,,,,
function_QuadraticBezierStaircase,1,,,,,,1,,,,,
function_RaisedInvertedCosine,1,1,,,,,,,,,,
function_SimpleHalfGaussian,1,,,,,,,,,,,
function_SlidingAdjustableSigmaGaussian,1,,,,,,,1,,,,
function_SmootherStep,1,1,,,,,,,,,,
function_SmoothStep,1,1,,,,,,,,,,
function_Staircase,1,,,,,,1,,,,,
function_TripleLinear,1,,,,,,,,,1,,
function_TukeyWindow,1,,,,,,,1,,,,
function_VariableStaircase,1,,,,,,1,,,1,,
